filename,class_name
50a418190bc3fb1ef1633bf9678929b3,14
21a10246a5ec7af151081d0cd6d65dc9,14
9a5094b2563a1ef3ff50dc5c7ff71345,3
051132a778e61a86eb147c7c6f564dfe,0
063319de25ce7edb9b1c6b8881290140,14
1c32170b4af4ce1a3030eb8167753b06,11
0c7a38f293d5f5e4846aa4ca6db4daf1,5
47ed17dcb2cbeec15182ed335a8b5a9e,8
d3637a1935a905b3c326af31389cb846,0
afb6230703512afc370f236e8fe98806,13
7c1add6833d5f0102b0d3619a1682a64,7
18a61a07e6f5f13ebfee57fa36cd8b6f,13
5550a493b1c4554da469a072fdfab974,14
869f39afbdd8783b531530942eda8bad,14
321c111713c3ee5385db0effb54ff568,0
f55460fccf2d3c591f57f9c0de2c37c2,14
cdbacab6bf30170ef0ba9fd1d195d270,14
80caa435b6ab5edaff4a0a758ffaec6e,1
5da264775732004f1b724b660138854a,0
fb8e11c6b2886b2d41b379e0598669b9,0
0622cd29e4e0e4f198abf15614819ae8,3
c6e0ab2470d98a6a8c701e774df929cc,14
347180362348e522905047dde655b6d7,11
5e56b7582a7cb3616e69cf95cb544a17,14
fc06d54844aee54acd87466f59acfc5b,14
5ce53167cb33fa63c59af857d7236416,14
63d5b6f568f005932b9246bcb40eee68,14
22b8e616a61bbc4caaed0cf23b7159df,13
9b85b7ef757927db44393d03083a757c,14
fdd5c663764c4f333a42250ad5a67790,14
b911c2fdb0b80d9c7214a859aced0a8a,14
c394eadea89e5795c8037280492d116d,9
5d03f4c2d353a2ddfdc4ba932e5b1029,14
42d472bdda3ad93dac63c8e5e29977bb,14
2b1293d9c276e5439e499f58ce2e31ab,14
e4b12e030788bbd71f7ad72fa1ee5a71,14
be1bb194dfb986bf7554b491852b8901,7
d7aea6f37597df566725da73655edcc2,6
a2a8eb578628cb2c353e6b6dc311de5c,14
8ae85268313b0db2f58d2193aab645c9,9
8e063eadea9a6aeb684c893c8598be3e,8
04bb8bd7ee6f88a16623fe5c6dd4da91,10
bd6eb525438d6da1ced0ed1810857772,10
4016b176eaf40d514b0559a0aeb48f21,3
ad2367bde2706f692c2e1a1d12c492b9,14
25f2c7b53a6ed09a9aaf73c30357aaf6,3
d86c7405606f965ab7300ef1eacbcacc,14
18ee9ef3baea468de2087e0edd85e919,3
7eda1e28e4cee7d8016276c87b76259f,11
77c3750fdc5ae970693a6d7080ef702c,14
d35342287accb789782fee0e4a8b1031,14
abb91bdaa9d02f50bde1eaa88e13afab,7
98d44861c84d532bcca874fcde5e5f42,0
222b7757f55bee221e7aba69fc9928d0,0
73a4407a2df891526e94ba4541023f49,14
9b9f47628be6a48ddb41aec8ba39b454,10
d106ec9b305178f3da060efe3191499a,8
9fbeb619ac9a406375ef5d6447227b5b,14
82bc4f8652641af7cf061ab4b6ead271,14
f32ab457c492c30221d3a89fe7c6b25a,8
b9f09915187c2cc01e958da90d97ac89,0
f769eea17a2e7678f481f386c3c6261c,3
cc9b6ee01a01702434ad789eef9432fb,14
6900482a91a538ead56b483f77bcf289,10
e3ac18fd134bcb699760db4ef362e14f,14
2561ba15f063a8e3a0322ad943738bb5,14
a3f5ac68c8d1b1805be21f18c47fc186,8
764205f702d380f8a4da5cffa538f48d,14
0cfae3f740f87ca3b96dec765d06fad0,0
